"DAC","Study Accession","Study Release Date","Embargo End Date","Study Name"
"NCI DAC","phs001577.v1.p1","09/12/2018","09/12/2018","Structural Alterations in Castration-Resistant Prostate Cancer"
"NCI DAC","phs001580.v1.p1","01/15/2020","01/15/2020","MGH/Broad Hurthle Cell Carcinoma Whole Exome Sequencing Study"
"NCI DAC","phs001587.v1.p1","06/25/2018","06/25/2018","Establishment and Characterization of Prostate Cancer Organoids"
"NCI DAC","phs001589.v1.p1","03/07/2019","03/07/2019","Breast Cancer Family Registry Early-onset Breast Cancer GWAS"
"NCI DAC","phs001594.v1.p1","03/19/2019","03/19/2019","Mucosal Melanoma Targeted Sequencing Study (UCSF)"
"NCI DAC","phs001596.v1.p1","05/22/2019","05/22/2019","Acral Melanoma Targeted Sequencing Study (UCSF)"
"NCI DAC","phs001611.v1.p1","06/21/2019","06/21/2019","Pancreas Cancer Organoid Profiling"
"NCI DAC","phs001618.v1.p1","08/03/2018","08/03/2018","Dormant TILs and Sensitivity to Immune Checkpoint Blockers in Lung Cancer"
"NCI DAC","phs001621.v1.p1","12/21/2018","12/21/2018","The Platinum Study"
"NCI DAC","phs001628.v1.p1","03/29/2019","03/29/2019","Clinical Crenolanib Resistance in AML"
"NCI DAC","phs001632.v1.p1","09/06/2019","09/06/2019","African American Multiple Myeloma GWAS"
"NCI DAC","phs001643.v1.p1","09/25/2018","09/25/2018","Chordoma Genomics"
"NCI DAC","phs001645.v1.p1","02/19/2019","02/19/2019","Genomic Landscape of Cutaneous Diffuse Large B Cell Lymphoma"
"NCI DAC","phs001648.v2.p1","07/28/2020","05/02/2019","Genomic Characterization of Metastatic Castration Resistant Prostate Cancer"
"NCI DAC","phs001654.v1.p1","11/28/2018","11/28/2018","NSAIDS and Somatic Mutations in Barrett's Esophagus"
"NCI DAC","phs001657.v1.p1","08/26/2019","08/26/2019","Functional Genomic Landscape of Acute Myeloid Leukemia"
"NCI DAC","phs001658.v1.p1","12/04/2018","12/04/2018","Tumor Heterogeneity in Metastatic Adrenocortical Tumors"
"NCI DAC","phs001660.v1.p1","02/22/2019","02/22/2019","Lung Cancer Pharmacogenomics (LUPG)"
"NCI DAC","phs001666.v1.p1","04/25/2019","04/25/2019","Phase II Trial of the Aurora Kinase A Inhibitor Alisertib for Castration Resistant and Neuroendocrine Prostate Cancer"
"NCI DAC","phs001674.v1.p1","11/05/2018","11/05/2018","The Genomic Landscape of Endocrine Resistant Advanced Breast Cancers."
"NCI DAC","phs001680.v1.p1","07/23/2019","07/23/2019","T Cell States Associated with Response to Checkpoint Blockade in Melanoma"
"NCI DAC","phs001687.v1.p1","08/29/2019","08/29/2019","West Africa Breast Cancer Study (WABCS)"
"NCI DAC","phs001696.v1.p1","11/27/2018","11/27/2018","Genomic Studies for Understanding Etiology of Esophageal Adenocarcinoma (EsophagealAdenocarcinoma_Chinese)"
"NCI DAC","phs001704.v1.p1","12/18/2018","12/18/2018","Enhancer Mapping in Chronic Lymphocytic Leukemia"
"NCI DAC","phs001707.v2.p1","02/04/2020","02/28/2019","UPenn T cell Therapy Trials (Responders and Non-responders)"
"NCI DAC","phs001709.v1.p1","10/04/2019","10/04/2019","Count Me In: Metastatic Breast Cancer Project (CMI-MBCproject)"
"NCI DAC","phs001713.v1.p1","12/26/2019","12/26/2019","LCCC 1108 (UNCseqTM)"
"NCI DAC","phs001722.v1.p1","03/17/2020","03/17/2020","Understanding the Progression of Metastatic Colorectal Cancer"
"NCI DAC","phs001736.v1.p1","09/27/2019","09/27/2019","NCI Expanded Genome-Wide Association Study of Renal Cell Carcinoma"
"NCI DAC","phs001742.v2.p1","11/15/2019","11/15/2019","Clonal Mapping of Multi-Organ Metastasis and Chemoresistance in Triple Negative Breast cancer"
"NCI DAC","phs001743.v1.p1","04/24/2020","04/24/2020","Contribution of Systemic and Somatic Factors to Clinical Response and Resistance in Urothelial Cancer"
"NCI DAC","phs001765.v1.p1","02/27/2019","02/27/2019","Genomic Characterization of Parathyroid Cancer"
"NCI DAC","phs001781.v1.p1","08/14/2019","08/14/2019","Proteogenomic Landscape of Squamous Cell Lung Cancer"
"NCI DAC","phs001783.v1.p1","07/10/2019","07/10/2019","Exome Sequencing of Prospectively Characterized Clinical Specimens"
"NCI DAC","phs001799.v1.p1","10/17/2019","10/17/2019","Genomic landscape of Neutrophilic Leukemias of Ambiguous Diagnosis"
"NCI DAC","phs001800.v1.p1","06/14/2019","06/14/2019","Genomics of Pediatric Renal Medullary Carcinomas"
"NCI DAC","phs001805.v1.p1","12/26/2019","12/26/2019","Endogenous CD4+ T Cells Recognize Neoantigens in Lung Cancer, including KRAS and Her2"
"NCI DAC","phs001813.v1.p1","09/09/2019","09/09/2019","Integrative Tissue Analysis of Men with Prostate Cancer"
"NCI DAC","phs001818.v2.p1","05/29/2020","10/04/2019","Single-Cell Genomic Analysis of Gastrointestinal Cancer"
"NCI DAC","phs001823.v1.p1","08/09/2019","08/09/2019","Genome and Transcriptome Analysis of Lung Cancer Cell Lines"
"NCI DAC","phs001824.v1.p1","06/28/2019","06/28/2019","RNASeq of Plasmacytoid Dendritic Cells in Head and Neck Squamous Cell Cancer"
"NCI DAC","phs001830.v1.p1","08/06/2019","08/06/2019","Tumor Heterogeneity and Drug Resistance in FGFR2-Fusion Cholangiocarcinoma"
"NCI DAC","phs001839.v1.p1","09/27/2019","09/27/2019","Deep Sequencing of 3 Cancer Cell Lines on 2 Sequencing Platforms"
"NCI DAC","phs001840.v1.p1","07/17/2019","07/17/2019","Single-Cell Analysis of Human Pancreatic Ductal Adenocarcinoma"
"NCI DAC","phs001847.v1.p1","10/17/2019","10/17/2019","Understanding RNA Biology and Therapeutics in Hematopoiesis and Leukemia"
"NCI DAC","phs001853.v1.p1","02/21/2020","02/21/2020","MGH Gastrointestinal Malignancies Resistance Initiative"
"NCI DAC","phs001854.v1.p1","12/03/2019","12/03/2019","Human Pilocytic Astrocytoma Single Cell RNA Sequencing"
"NCI DAC","phs001858.v1.p1","02/25/2020","02/25/2020","Germline Variants of Clinical Cancer Specimens"
"NCI DAC","phs001861.v1.p1","03/11/2020","03/11/2020","Single Cell Analysis Reveals New Evolutionary Complexity in Uveal Melanoma"
"NCI DAC","phs001868.v1.p1","04/24/2020","04/24/2020","Genetic Architecture of Susceptibility to Melanoma"
"NCI DAC","phs001877.v1.p1","12/16/2019","12/16/2019","Genetics of Cutaneous T-Cell Lymphoma"
"NCI DAC","phs001895.v2.p1","03/05/2020","03/05/2020","Genome Sequencing of Lung Cancer in European Americans and African Americans"
"NCI DAC","phs001907.v1.p1","12/27/2019","12/27/2019","CPTAC: Microscaled Proteogenomic Methods for Precision Oncology"
"NCI DAC","phs001910.v1.p1","11/25/2019","11/25/2019","Enhancer Signatures of Neuroendocrine Tumors"
"NCI DAC","phs001919.v1.p1","03/13/2020","03/13/2020","PAK4 Inhibition Improves PD-1 Blockade Immunotherapy"
"NCI DAC","phs001921.v1.p1","12/27/2019","12/27/2019","DNA Methylation and Prostate Cancer"
"NCI DAC","phs001931.v1.p1","02/14/2020","02/14/2020","Count Me In: Angiosarcoma Project (CMI-ASCproject)"
"NCI DAC","phs001936.v1.p1","01/30/2020","01/30/2020","Genome, Exome, and Transcriptome Sequencing of Gastric Cancer"
"NCI DAC","phs001939.v1.p1","02/12/2020","02/12/2020","Count Me In: Metastatic Prostate Cancer Project (CMI-MPCproject)"
"NCI DAC","phs001940.v2.p1","04/17/2020","01/13/2020","Genomic Determinants of Response to Immunotherapy"
"NCI DAC","phs001943.v1.p1","05/01/2020","05/01/2020","Hereditary Cancer Predisposition Syndromes and Uveal Melanoma"
"NCI DAC","phs001947.v1.p1","04/21/2020","04/21/2020","Whole Transcriptome Sequencing of Resectable Stage III/IV Melanoma Evaluated After Starting Hu14.18-IL2 Predicts Outcome"
"NCI DAC","phs001954.v1.p1","05/19/2020","05/19/2020","Early Stage Lung Adenocarcinoma"
"NCI DAC","phs001964.v1.p1","03/19/2020","03/19/2020","Women's Health Study Accelerometry Dataset"
"NCI DAC","phs001969.v1.p1","06/24/2020","06/24/2020","Cellular Origins and Genetic Landscape of Cutaneous GD T Cell Lymphoma"
"NCI DAC","phs001979.v1.p1","07/01/2020","07/01/2020","Genomic Landscape of Human Skin at a Single-Cell Resolution"
"NCI DAC","phs001994.v1.p1","07/09/2020","07/09/2020","Smoking and Tumor Immune Microenvironment in HNSCC"
"NCI DAC","phs002011.v1.p1","04/21/2020"," ","PLCO - Limited Use Pilot Test Data"
"NCI DAC","phs002045.v1.p1","08/10/2020","08/10/2020","Intraductal Transplantation Models of PDAC Reveal Progression of Subtypes"
"NEI","phs000001.v3.p1","04/05/2012","02/11/2016","NEI Age-Related Eye Disease Study (AREDS)"
"NEI","phs000142.v1.p1","08/27/2009","10/27/2009","Whole Genome Association Twin Study of Myopia and Glaucoma Risk Factors"
"NEI","phs000238.v1.p1","11/20/2013","08/20/2014","NEIGHBOR Consortium Glaucoma GWAS"
"NEI","phs000240.v1.p1","08/03/2011","08/03/2012","NEI Ocular Hypertension Treatment Study (OHTS)"
"NEI","phs000303.v1.p1","10/28/2011","07/28/2012","Genetic Epidemiology of Refractive Error in the KORA Study"
"NEI","phs000421.v1.p1","05/31/2013","03/03/2014","A Genome-Wide Association Study of Fuchs' Endothelial Corneal Dystrophy (FECD)"
"NEI","phs000458.v1.p1","12/17/2013","09/17/2014","NEIGHBOR-Methylation in POAG"
"NEI","phs000461.v1.p1","02/19/2014","02/19/2015","GLAUGEN-Methylation in POAG"
"NEI","phs000558.v1.p1","04/07/2017","10/07/2017","Glaucoma Exome Sequencing"
"NEI","phs000684.v1.p1","05/08/2014","05/08/2015","Age related Macular Degeneration - MMAP Cohort: Association and Sequencing Studies"
"NEI","phs000798.v1.p1","11/26/2014","05/26/2015","Performance Characteristics of Selective Targeted Enrichment in Genetic Diagnostic Testing"
"NEI","phs001039.v1.p1","10/26/2016","04/26/2017","International AMD Genomics Consortium - Exome Chip Experiment"
"NEI","phs001046.v1.p1","06/06/2018","06/06/2018","Genomic Architecture of Progression and Treatment Response in AMD"
"NEI","phs001053.v1.p1","02/20/2018","02/20/2018","NEI Exfoliation Genotyping Study"
"NEI","phs001151.v1.p1","08/15/2016","08/15/2016","Region-specific Transcriptome Analysis of the Human Retina and RPE/Choroid"
"NEI","phs001312.v1.p1","02/25/2020","02/25/2020","Primary Open-Angle African American Glaucoma Genetics (POAAGG) Study"
"NEI","phs001361.v2.p1","02/06/2019","02/06/2019","Genetics of Age-Related Macular Degeneration in the Amish"
"NEI","phs001517.v2.p2","05/11/2020","05/11/2020","Genetics of Human Inherited Retinal Diseases (GHIRD)"
"NEI","phs001619.v2.p1","06/02/2020","06/02/2020","Genetic Analysis of Patients with Inherited Retinal Dystrophies (IRDs)"
"NEI","phs001673.v1.p1","05/14/2019","05/14/2019","ADAGESIII: Contribution of Genotype to Glaucoma Phenotype in African Americans"
"NHGRI","phs000048.v1.p1","03/03/2008","03/03/2008","Mayo-Perlegen LEAPS (Linked Efforts to Accelerate Parkinson's Solutions) Collaboration"
"NHGRI","phs000091.v2.p1","07/31/2009","07/31/2010","GENEVA Diabetes Study (NHS/HPFS)"
"NHGRI","phs000092.v1.p1","09/23/2008","09/23/2009","Study of Addiction: Genetics and Environment (SAGE)"
"NHGRI","phs000096.v4.p1","05/16/2012","12/02/2012","HAPO Maternal Glycemia and Birthweight GEI Study"
"NHGRI","phs000103.v1.p1","10/08/2010","10/08/2011","GENEVA Study of Preterm Delivery (DNBC/Iowa)"
"NHGRI","phs000144.v1.p1","02/27/2009","02/27/2009","NHGRI Tumor Sequencing Project (Lung Adenocarcinoma)"
"NHGRI","phs000145.v4.p2","04/18/2013","10/22/2012","POPRES: Population Reference Sample"
"NHGRI","phs000159.v9.p5","02/19/2020","08/01/2016","Genomics of Acute Myeloid Leukemia"
"NHGRI","phs000170.v2.p1","03/09/2015","03/09/2016","GWAS on Cataract and HDL in the PMRP"
"NHGRI","phs000188.v1.p1","10/08/2010","10/08/2011","Vanderbilt Genome-Electronic Records (VGER) Project: QRS Duration"
"NHGRI","phs000203.v1.p1","11/05/2010","11/05/2011","A Genome-Wide Association Study of Peripheral Arterial Disease"
"NHGRI","phs000220.v2.p2","06/27/2018","06/27/2018","PAGE: Multiethnic Cohort (MEC)"
"NHGRI","phs000228.v4.p1","02/08/2018","02/08/2018","HMP Core Microbiome Sampling Protocol A (HMP-A)"
"NHGRI","phs000234.v2.p2","05/30/2018","05/30/2018","Group Health/UW Aging and Dementia eMERGE Study"
"NHGRI","phs000237.v1.p1","04/22/2011","04/22/2012","Northwestern NUgene Project: Type 2 Diabetes"
"NHGRI","phs000245.v1.p1","10/08/2010","10/08/2010","Whole Genome Sequencing of Triple Negative Breast Cancer"
"NHGRI","phs000288.v2.p2","11/15/2017","11/15/2017","Ciliopathies Exome Sequencing Initiative"
"NHGRI","phs000289.v2.p1","06/28/2011","09/20/2011","NHGRI Genome-Wide Association Study of Venous Thromboembolism (GWAS of VTE)"
"NHGRI","phs000292.v1.p1","08/06/2010","08/06/2011","GENEVA Genetics of Early Onset Stroke (GEOS) Study"
"NHGRI","phs000295.v2.p1","12/22/2017","12/22/2017","Next Generation Mendelian Genetics: Kabuki Syndrome"
"NHGRI","phs000297.v1.p1","09/26/2012","09/26/2013","eMERGE Network Study of Resistant Hypertension"
"NHGRI","phs000308.v1.p1","12/21/2010","12/21/2011","The Glaucoma Genes and Environment (GLAUGEN) Study"
"NHGRI","phs000310.v1.p1","05/02/2011","05/02/2011","Discovery of Non-ETS Gene Fusions using RNA Sequencing"
"NHGRI","phs000311.v1.p1","05/03/2011","05/03/2011","FusionSeq: Finding Fusions with Paired-End RNA-Seq"
"NHGRI","phs000330.v1.p1","02/10/2011","02/10/2011","The Genomic Complexity of Primary Human Prostate Cancer"
"NHGRI","phs000339.v2.p1","03/28/2013","08/31/2012","MitoExome Sequencing of Mitochondrial OXPHOS Diseases (MGH)"
"NHGRI","phs000343.v3.p1","06/11/2013","06/11/2014","The Genomics and Randomized Trials Network (GARNET) Vitamin Intervention Stroke Prevention (VISP) trial"
"NHGRI","phs000353.v1.p1","08/16/2011","08/16/2012","GENEVA Study of Preterm Delivery (African-American)"
"NHGRI","phs000356.v2.p1","05/31/2017","05/31/2017","Population Architecture using Genomics and Epidemiology (PAGE)"
"NHGRI","phs000360.v3.p1","08/11/2016","08/11/2017","eMERGE Network Combined Dataset"
"NHGRI","phs000374.v1.p1","11/08/2011","11/08/2011","Genomic Sequencing of Colorectal Adenocarcinomas"
"NHGRI","phs000380.v1.p1","01/17/2012","01/17/2013","eMERGE Genome-Wide Association Studies of Obesity (Metabochip)"
"NHGRI","phs000381.v1.p1","12/19/2011","12/19/2012","Geisinger eMERGE - MyCode Project"
"NHGRI","phs000387.v1.p1","12/19/2011","12/19/2012","Geisinger eMERGE - Abdominal Aortic Aneurysm Project (AAAP)"
"NHGRI","phs000388.v1.p1","09/21/2011","09/21/2012","IPM BioBank GWAS"
"NHGRI","phs000392.v1.p1","10/20/2011","10/20/2011","Exome Sequencing of arPEO"
"NHGRI","phs000405.v1.p1","11/20/2012","11/20/2012","Next Generation Mendelian Genetics: Malignant Hyperthermia"
"NHGRI","phs000408.v1.p1","12/06/2011","12/06/2012","eMERGE Genome-Wide Association Studies of Obesity"
"NHGRI","phs000424.v8.p2","07/18/2019","07/18/2019","Genotype-Tissue Expression (GTEx)"
"NHGRI","phs000434.v1.p1","09/12/2012","09/12/2012","Next Generation Mendelian Genetics: Atypical Werner Syndrome"
"NHGRI","phs000435.v3.p1","04/05/2017","06/03/2013","Whole Exome Sequencing of Chronic Lymphocytic Leukemia"
"NHGRI","phs000437.v1.p1","05/01/2014","02/01/2016","Next Generation Mendelian Genetics: Auriculocondylar Syndrome (ACS)"
"NHGRI","phs000447.v1.p1","04/26/2012","04/26/2012","Prostate Cancer Genome Sequencing Project"
"NHGRI","phs000452.v3.p1","03/02/2020","01/08/2016","Melanoma Genome Sequencing Project"
"NHGRI","phs000456.v1.p1","05/08/2012","05/08/2013","Risk Assessment of Cerebrovascular Events (RACE) Study"
"NHGRI","phs000472.v2.p1","09/13/2017","09/13/2017","Estrogen Receptor Positive Breast Cancer: Aromatase Inhibitor Response Study"
"NHGRI","phs000474.v3.p2","04/28/2016","04/28/2016","Biology and Molecular Analysis of Human Hematopoiesis Genetics"
"NHGRI","phs000475.v1.p1","06/08/2012","06/08/2012","The Molecular Basis of Inherited Reproductive Disorders"
"NHGRI","phs000476.v1.p1","07/17/2012","07/17/2012","Molecular Defects in Pseudohypoparathyroidism or Related Disorders"
"NHGRI","phs000477.v1.p1","06/06/2012","06/06/2012","Genetic Defects in Familial Renal Disorders"
"NHGRI","phs000478.v1.p1","05/07/2012","05/07/2012","Strabismus, CCDD and Other Anomalies"
"NHGRI","phs000484.v1.p1","06/06/2012","06/06/2012","Molecular Genetic Analysis of Inherited Kidney Dysfunction"
"NHGRI","phs000485.v1.p1","06/08/2012","06/08/2012","Gene Mutation and Rescue in Congenital Diaphragmatic Hernia"
"NHGRI","phs000488.v2.p1","12/08/2016","10/18/2012","Genomic Sequencing of Lung Adenocarcinoma"
"NHGRI","phs000490.v1.p1","10/02/2012","10/02/2013","A Study of the Genetic Causes of Complex Pediatric Disorders"
"NHGRI","phs000492.v3.p2","07/14/2020","07/14/2020","Genetics of Human Developmental Brain Disorders"
"NHGRI","phs000493.v1.p1","02/22/2013"," ","Genetic Association Studies in the Solomon Islanders"
"NHGRI","phs000494.v1.p1","07/23/2012","07/23/2013","CCHMC - eMERGE Data"
"NHGRI","phs000495.v1.p1","08/30/2012","08/30/2013","The Gene Partnership (TGP) - eMERGE Data"
"NHGRI","phs000497.v3.p2","10/13/2016","12/03/2013","Genetic Analysis of Hirschsprung Disease"
"NHGRI","phs000500.v1.p1","01/30/2013","01/30/2013","Non-Invasive Whole Genome Sequencing of a Human Fetus"
"NHGRI","phs000504.v2.p2","12/04/2013","07/31/2012","Medulloblastoma exome sequence analysis"
"NHGRI","phs000509.v1.p1","06/23/2015","12/23/2015","Genome Sequencing of Hepatocellular Carcinoma"
"NHGRI","phs000511.v1.p1","10/01/2012","10/01/2012","Treatment of Genetic Screening of Hypertriglyceridemia type I, III, and V - HTG Amsterdam"
"NHGRI","phs000512.v1.p1","10/19/2012","10/19/2012","Genetics of High HDL Cholesterol"
"NHGRI","phs000514.v1.p1","10/25/2012","10/25/2012","Identification of Genes Involved in Familial Coronary Artery Disease"
"NHGRI","phs000516.v2.p1","04/13/2017","12/13/2013","Genome Sequencing of Pancreatic Ductal Adenocarcinoma"
"NHGRI","phs000537.v1.p1","11/26/2012","11/26/2012","Next Generation Mendelian Genetics: Familial Hemophagocytic Lymphohistiocytosis"
"NHGRI","phs000538.v1.p1","11/28/2012","11/28/2012","Next Generation Mendelian Genetics: Familial Combined Hyperlipidemia"
"NHGRI","phs000539.v1.p1","12/04/2012","12/04/2012","Next Generation Mendelian Genetics: Congenital Hyperinsulinism"
"NHGRI","phs000540.v1.p1","11/30/2012","11/30/2012","Next Generation Mendelian Genetics: Ehlers-Danlos Syndrome Type VIII"
"NHGRI","phs000541.v1.p1","03/28/2013","03/28/2013","Next Generation Mendelian Genetics: Muscle Hypertrophy"
"NHGRI","phs000542.v1.p1","11/28/2012","11/28/2012","Next Generation Mendelian Genetics: Neonatal Diabetes"
"NHGRI","phs000547.v1.p1","12/19/2012","12/19/2013","A Genome-Wide Association Study in Breast Cancer Patients from the SUCCESS Trial"
"NHGRI","phs000559.v1.p1","01/15/2014","01/15/2015","PAGE: Epidemiologic Architecture for Genes Linked to Environment (EAGLE) - BioVU Cancer Project"
"NHGRI","phs000561.v1.p1","11/14/2012","11/14/2012","Metabolism and Genetics of Hypobetalipoproteinemia"
"NHGRI","phs000598.v2.p2","11/22/2013","11/22/2013","Exome Sequencing of Esophageal Adenocarcinoma"
"NHGRI","phs000611.v1.p1","01/15/2014","03/15/2014","Whole Genome Comparisons of Breast Cancers and their Xenotransplants"
"NHGRI","phs000623.v1.p1","08/22/2013","08/22/2013","Rare Mendelian Disease in Old Order Amish and Mennonite Patients"
"NHGRI","phs000625.v1.p1","07/03/2014","01/03/2015","Targeted Sequencing of GWAS Loci in Cleft Lip and Palate"
"NHGRI","phs000655.v3.p1","01/19/2017","01/19/2017","Genetics of Inherited Muscle Disease"
"NHGRI","phs000661.v1.p1","12/18/2013","12/18/2013","Germline Sequencing for Aggressive Prostate Carcinoma"
"NHGRI","phs000664.v1.p1","11/15/2013","02/15/2014","Genome Variations Among the Aboriginals in Malaysia"
"NHGRI","phs000691.v2.p1","04/01/2015","07/10/2014","CIP: Differential Response to Hydroxyurea and Incidence of Stroke in Sickle Cell Disease"
"NHGRI","phs000693.v5.p1","01/25/2017","01/25/2017","University of Washington Center for Mendelian Genomics (UW-CMG)"
"NHGRI","phs000694.v3.p2","09/07/2017","05/16/2014","Clinical Cancer Sequencing"
"NHGRI","phs000707.v2.p1","04/20/2017","04/20/2017","Next Generation Mendelian Genetics: Hereditary Neurological Disorders"
"NHGRI","phs000711.v5.p1","06/25/2018","06/25/2018","Baylor Hopkins Center for Mendelian Genomics (BH CMG)"
"NHGRI","phs000722.v2.p2","05/04/2017","05/04/2017","DFCI Colorectal Cancer Cohorts"
"NHGRI","phs000725.v2.p1","07/23/2020","07/23/2020","Rare Cancer Tumors Project"
"NHGRI","phs000728.v1.p1","01/30/2018","01/30/2018","Lung Cancer Susceptibility in Smokers"
"NHGRI","phs000730.v1.p1","11/16/2015","11/16/2015","Genomics of Brain Metastases"
"NHGRI","phs000732.v1.p1","04/24/2014","04/24/2014","L1-seq and genome-wide SNP genotyping in a multiethnic Asian population"
"NHGRI","phs000744.v4.p2","08/09/2016","08/09/2016","Yale Center for Mendelian Genomics (Y CMG)"
"NHGRI","phs000756.v1.p1","03/04/2019","03/04/2019","Exome Sequence of Finnish Sub-Isolate Samples from the FINRISK Cohort"
"NHGRI","phs000766.v1.p1","03/31/2015","10/01/2015","GEI Studies - Psoriasis"
"NHGRI","phs000770.v1.p1","09/02/2016","09/02/2016","Somatic Mutation Profile by Next Generation Sequencing in HER2+ Breast Cancer"
"NHGRI","phs000771.v2.p1","02/28/2019","09/25/2014","Bladder Cancer Clinical Cohorts"
"NHGRI","phs000779.v1.p1","10/17/2014","10/17/2014","OFCCR SNP-CpG"
"NHGRI","phs000789.v1.p1","10/29/2015","10/29/2016","Collaborative Study of Genes, Nutrients and Metabolites (CSGNM)"
"NHGRI","phs000803.v2.p1","09/20/2017","05/13/2015","Gastorointestinal Cancer Clinical Cohorts"
"NHGRI","phs000811.v1.p1","01/09/2015","01/09/2015","Comparison of custom capture for targeted next generation DNA sequencing"
"NHGRI","phs000816.v2.p1","04/20/2017","06/18/2015","Characterization of X Chromosome Inactivation by high-throughput sequencing"
"NHGRI","phs000819.v1.p1","02/09/2018","02/09/2018","Normal Human Tissue Sequencing Project"
"NHGRI","phs000822.v1.p1","03/31/2016","03/31/2017","Genome-Wide Discovery of Novel Breast Cancer Predisposing Mutations"
"NHGRI","phs000823.v1.p1","06/21/2016","06/21/2017","Discovery of Novel Melanoma Predisposing Mutations by Exome Sequencing"
"NHGRI","phs000824.v1.p1","01/20/2016","01/20/2017","Genome-Wide Discovery of Novel Colon Cancer Predisposing Mutations"
"NHGRI","phs000827.v3.p1","11/22/2016","11/22/2016","N.C. Clinical Genomic Evaluation by NextGen Exome Sequencing (NCGENES)"
"NHGRI","phs000831.v1.p1","08/21/2015","08/21/2015","Sporadic Amyotrophic Lateral Sclerosis (ALS): Sequencing Study"
"NHGRI","phs000837.v1.p1","09/01/2015","09/01/2015","Whole Genome Sequencing of Two 22q11DS Trios"
"NHGRI","phs000841.v1.p1","02/13/2015","02/13/2016","Tyrosine Kinase Mutations in Endometrial Cancer"
"NHGRI","phs000846.v1.p1","03/26/2015","03/26/2015","Whole Genome Bisulfite Sequencing of ccf DNA and its Cellular Contributors"
"NHGRI","phs000855.v1.p1","04/07/2015","04/07/2015","Resistance studies in Lung Cancer"
"NHGRI","phs000857.v1.p1","04/29/2015","04/29/2015","Primary ER-positive Breast Cancer Treated with Neoadjuvant Letrozole"
"NHGRI","phs000858.v1.p1","08/07/2017","08/07/2017","Whole Genome Sequencing and Haplotyping of Blastocyst Biopsies"
"NHGRI","phs000870.v1.p1","10/19/2015","10/19/2016","Characterization of Human Transcriptome by Computational and HTS Approaches"
"NHGRI","phs000871.v1.p1","05/09/2017","05/09/2017","Whole Exome Sequencing of Pancreatic Neuroendocrine Tumors"
"NHGRI","phs000879.v1.p1","11/04/2015","11/04/2015","DFCI Brown Lab CLL Sequencing Study"
"NHGRI","phs000888.v1.p1","08/11/2016","05/10/2017","eMERGE Network Imputed GWAS for 41 phenotypes"
"NHGRI","phs000895.v1.p1","06/10/2016","06/10/2016","Integrated Genomic Analysis of Periampullary Tumors"
"NHGRI","phs000898.v1.p1","07/28/2015","07/28/2016","Megabase-scale Haplotyped Genomic Analysis of Normal and Cancer Genomes"
"NHGRI","phs000906.v1.p1","12/06/2017","12/06/2017","eMERGE Network PGx Cohort"
"NHGRI","phs000909.v1.p1","02/19/2016","02/19/2016","Neuroendocrine Prostate Cancer (Trento/Cornell/Broad 2015)"
"NHGRI","phs000922.v1.p1","10/20/2015","10/20/2016","Genetic Aberrations and Subclonal Structure Impact Chronic Lymphocytic Leukemia"
"NHGRI","phs000923.v1.p1","09/28/2016","09/28/2016","Molecular Characterization of Germ Cell Tumors"
"NHGRI","phs000925.v1.p1","03/29/2017","03/29/2017","PAGE: IPM BioMe Biobank"
"NHGRI","phs000927.v1.p1","06/12/2017","06/12/2017","CSER: Clinical Implementation of Carrier Testing Using NGS (NextGen)"
"NHGRI","phs000935.v1.p1","11/23/2016","11/23/2016","Applying Genomic Sequencing in Pediatrics (PediSeq)"
"NHGRI","phs000938.v1.p1","07/24/2015","07/24/2015","Appraisal of Whole Exome Sequencing Methods"
"NHGRI","phs000939.v2.p1","09/01/2017","08/12/2015","Epigenetic and Genetic Profiling in Lymphoma"
"NHGRI","phs000944.v1.p1","03/07/2016","03/07/2016","eMERGE Clinical Center at Partners HealthCare"
"NHGRI","phs000948.v1.p1","08/28/2015","08/28/2015","Genetic Discovery and Application in a Clinical Setting: Continuing a Partnership (eMERGE Phase II)"
"NHGRI","phs000957.v1.p1","11/16/2015","11/16/2015","Geisinger Health System - MyCode, eMERGE III Exome Chip"
"NHGRI","phs000958.v1.p1","10/21/2015","10/21/2015","CSER-MedSeq"
"NHGRI","phs000961.v1.p1","06/07/2016","06/07/2016","eMERGE III: Columbia GENIE (Genomic Integration with EHR)"
"NHGRI","phs000962.v1.p1","10/23/2017","10/23/2017","Exploring the Genetic Variants Associated with Brain Growth in Children"
"NHGRI","phs000967.v1.p1","03/10/2016","03/10/2016","Clear Cell Endometrial Cancer Exome Sequencing Study"
"NHGRI","phs000971.v2.p1","02/13/2020","02/13/2020","NHGRI ClinSeq"
"NHGRI","phs000999.v3.p1","06/18/2020","06/18/2020","CSER: Clinical Sequencing in Cancer: Clinical, Ethical, and Technological Studies"
"NHGRI","phs001005.v2.p1","01/13/2020","10/29/2015","Antigen Discovery in Melanoma"
"NHGRI","phs001011.v1.p1","09/27/2016","09/27/2016","CCHMC-eMERGE-Phase IIIA"
"NHGRI","phs001023.v1.p1","07/18/2016","07/18/2016","Male Infertility: Genetics of Spermatogenic Failure"
"NHGRI","phs001033.v1.p1","12/27/2016","12/27/2016","PAGE: Global Reference Panel"
"NHGRI","phs001048.v2.p1","05/06/2019","05/06/2019","The FUSION Tissue Biopsy Study"
"NHGRI","phs001049.v1.p1","12/18/2018","12/18/2018","Genomics of Relapsed Small Cell Lung Cancer Progression"
